"Ano/mês do Óbito";"Óbitos_p/Ocorrência"
"1996";11259
"Janeiro/1996";903
"Fevereiro/1996";831
"Março/1996";887
"Abril/1996";851
"Maio/1996";972
"Junho/1996";1080
"Julho/1996";1182
"Agosto/1996";1053
"Setembro/1996";979
"Outubro/1996";851
"Novembro/1996";797
"Dezembro/1996";869
"1997";11240
"Janeiro/1997";823
"Fevereiro/1997";811
"Março/1997";892
"Abril/1997";934
"Maio/1997";1003
"Junho/1997";1170
"Julho/1997";999
"Agosto/1997";992
"Setembro/1997";908
"Outubro/1997";938
"Novembro/1997";909
"Dezembro/1997";861
"1998";11453
"Janeiro/1998";838
"Fevereiro/1998";815
"Março/1998";935
"Abril/1998";891
"Maio/1998";1096
"Junho/1998";1182
"Julho/1998";1083
"Agosto/1998";1044
"Setembro/1998";904
"Outubro/1998";915
"Novembro/1998";847
"Dezembro/1998";903
"1999";11533
"Janeiro/1999";842
"Fevereiro/1999";856
"Março/1999";963
"Abril/1999";927
"Maio/1999";1031
"Junho/1999";1109
"Julho/1999";1030
"Agosto/1999";1054
"Setembro/1999";999
"Outubro/1999";997
"Novembro/1999";881
"Dezembro/1999";844
"2000";11772
"Janeiro/2000";877
"Fevereiro/2000";880
"Março/2000";879
"Abril/2000";977
"Maio/2000";1051
"Junho/2000";1054
"Julho/2000";1212
"Agosto/2000";1079
"Setembro/2000";1012
"Outubro/2000";967
"Novembro/2000";892
"Dezembro/2000";892
"2001";11574
"Janeiro/2001";914
"Fevereiro/2001";800
"Março/2001";936
"Abril/2001";887
"Maio/2001";1068
"Junho/2001";1034
"Julho/2001";1083
"Agosto/2001";1014
"Setembro/2001";1025
"Outubro/2001";988
"Novembro/2001";880
"Dezembro/2001";945
"2002";11897
"Janeiro/2002";941
"Fevereiro/2002";816
"Março/2002";951
"Abril/2002";937
"Maio/2002";948
"Junho/2002";1055
"Julho/2002";1198
"Agosto/2002";1046
"Setembro/2002";1006
"Outubro/2002";1014
"Novembro/2002";996
"Dezembro/2002";989
"2003";12225
"Janeiro/2003";964
"Fevereiro/2003";899
"Março/2003";973
"Abril/2003";1002
"Maio/2003";1057
"Junho/2003";1012
"Julho/2003";1090
"Agosto/2003";1185
"Setembro/2003";1081
"Outubro/2003";993
"Novembro/2003";990
"Dezembro/2003";979
"2004";12827
"Janeiro/2004";955
"Fevereiro/2004";907
"Março/2004";1010
"Abril/2004";1072
"Maio/2004";1254
"Junho/2004";1203
"Julho/2004";1090
"Agosto/2004";1150
"Setembro/2004";1099
"Outubro/2004";1065
"Novembro/2004";1002
"Dezembro/2004";1020
"2005";12440
"Janeiro/2005";988
"Fevereiro/2005";898
"Março/2005";1008
"Abril/2005";948
"Maio/2005";1084
"Junho/2005";1083
"Julho/2005";1161
"Agosto/2005";1122
"Setembro/2005";1006
"Outubro/2005";1105
"Novembro/2005";1042
"Dezembro/2005";995
"2006";12572
"Janeiro/2006";1007
"Fevereiro/2006";917
"Março/2006";1060
"Abril/2006";1011
"Maio/2006";1144
"Junho/2006";1100
"Julho/2006";1166
"Agosto/2006";1116
"Setembro/2006";1078
"Outubro/2006";1028
"Novembro/2006";987
"Dezembro/2006";958
"2007";12585
"Janeiro/2007";968
"Fevereiro/2007";874
"Março/2007";1057
"Abril/2007";979
"Maio/2007";1160
"Junho/2007";1199
"Julho/2007";1151
"Agosto/2007";1169
"Setembro/2007";1017
"Outubro/2007";1025
"Novembro/2007";980
"Dezembro/2007";1006
"2008";13078
"Janeiro/2008";1057
"Fevereiro/2008";983
"Março/2008";1063
"Abril/2008";1060
"Maio/2008";1151
"Junho/2008";1221
"Julho/2008";1185
"Agosto/2008";1109
"Setembro/2008";1029
"Outubro/2008";1114
"Novembro/2008";1076
"Dezembro/2008";1030
"2009";12718
"Janeiro/2009";978
"Fevereiro/2009";926
"Março/2009";1017
"Abril/2009";989
"Maio/2009";1055
"Junho/2009";1158
"Julho/2009";1264
"Agosto/2009";1236
"Setembro/2009";1028
"Outubro/2009";1013
"Novembro/2009";1049
"Dezembro/2009";1005
"2010";13091
"Janeiro/2010";972
"Fevereiro/2010";990
"Março/2010";1090
"Abril/2010";1018
"Maio/2010";1170
"Junho/2010";1179
"Julho/2010";1100
"Agosto/2010";1200
"Setembro/2010";1095
"Outubro/2010";1112
"Novembro/2010";1091
"Dezembro/2010";1074
"2011";13160
"Janeiro/2011";1056
"Fevereiro/2011";954
"Março/2011";1076
"Abril/2011";1008
"Maio/2011";1099
"Junho/2011";1185
"Julho/2011";1261
"Agosto/2011";1270
"Setembro/2011";1099
"Outubro/2011";1110
"Novembro/2011";1017
"Dezembro/2011";1025
"2012";12961
"Janeiro/2012";1054
"Fevereiro/2012";959
"Março/2012";1033
"Abril/2012";1015
"Maio/2012";1165
"Junho/2012";1217
"Julho/2012";1208
"Agosto/2012";1119
"Setembro/2012";1081
"Outubro/2012";1073
"Novembro/2012";1025
"Dezembro/2012";1012
"2013";12985
"Janeiro/2013";1026
"Fevereiro/2013";882
"Março/2013";1009
"Abril/2013";1036
"Maio/2013";1056
"Junho/2013";1102
"Julho/2013";1267
"Agosto/2013";1272
"Setembro/2013";1103
"Outubro/2013";1099
"Novembro/2013";1062
"Dezembro/2013";1071
"2014";12868
"Janeiro/2014";983
"Fevereiro/2014";968
"Março/2014";1067
"Abril/2014";1110
"Maio/2014";1126
"Junho/2014";1129
"Julho/2014";1258
"Agosto/2014";1199
"Setembro/2014";1068
"Outubro/2014";1094
"Novembro/2014";922
"Dezembro/2014";944
"2015";12551
"Janeiro/2015";953
"Fevereiro/2015";850
"Março/2015";1041
"Abril/2015";1029
"Maio/2015";1089
"Junho/2015";1125
"Julho/2015";1195
"Agosto/2015";1137
"Setembro/2015";1049
"Outubro/2015";1050
"Novembro/2015";990
"Dezembro/2015";1043
"2016";13238
"Janeiro/2016";1083
"Fevereiro/2016";960
"Março/2016";1026
"Abril/2016";1047
"Maio/2016";1168
"Junho/2016";1309
"Julho/2016";1275
"Agosto/2016";1220
"Setembro/2016";1078
"Outubro/2016";1078
"Novembro/2016";998
"Dezembro/2016";996
"2017";12841
"Janeiro/2017";951
"Fevereiro/2017";910
"Março/2017";1026
"Abril/2017";1068
"Maio/2017";1151
"Junho/2017";1183
"Julho/2017";1247
"Agosto/2017";1214
"Setembro/2017";1010
"Outubro/2017";1030
"Novembro/2017";1043
"Dezembro/2017";1008
"2018";13170
"Janeiro/2018";1024
"Fevereiro/2018";920
"Março/2018";1094
"Abril/2018";990
"Maio/2018";1110
"Junho/2018";1299
"Julho/2018";1220
"Agosto/2018";1222
"Setembro/2018";1097
"Outubro/2018";1067
"Novembro/2018";1066
"Dezembro/2018";1061
"2019";13217
"Janeiro/2019";1113
"Fevereiro/2019";920
"Março/2019";1060
"Abril/2019";1011
"Maio/2019";1163
"Junho/2019";1202
"Julho/2019";1240
"Agosto/2019";1167
"Setembro/2019";1157
"Outubro/2019";1099
"Novembro/2019";1022
"Dezembro/2019";1063
"2020";16415
"Janeiro/2020";1002
"Fevereiro/2020";989
"Março/2020";1086
"Abril/2020";1024
"Maio/2020";1126
"Junho/2020";1277
"Julho/2020";1760
"Agosto/2020";1724
"Setembro/2020";1577
"Outubro/2020";1328
"Novembro/2020";1588
"Dezembro/2020";1934
"Total";315670
